"","date","open","high","low","close","volume","adjusted"
"1",2016-06-01,101.677,102.211,100.968,98.459999,29173300,95.887321
"2",2016-06-02,100.219,100.465,99.223,97.720001,40191600,95.166649
"3",2016-06-03,100.414,100.907,100.065,97.919998,28062900,95.361412
"4",2016-06-06,100.619,104.624,100.167,98.629997,23292500,96.052864
"5",2016-06-07,101.913,102.55,101.615,99.029999,22409500,96.442413
"6",2016-06-08,101.677,102.231,101.328,98.940002,20848100,96.354774
"7",2016-06-09,101.143,102.673,101.102,99.650002,26601400,97.046211
"8",2016-06-10,101.174,102.016,101.122,98.830002,31712900,96.247635
"9",2016-06-13,101.338,101.779,99.705,97.339996,38020500,94.79657
"10",2016-06-14,99.931,101.122,99.346,97.459999,31931900,94.913445
"11",2016-06-15,100.445,101.05,99.633,97.139999,29445200,94.601807
"12",2016-06-16,99.038,100.373,98.648,97.550003,31326800,95.001099
"13",2016-06-17,99.212,99.243,97.857,95.330002,61008200,92.839088
"14",2016-06-20,98.576,99.161,97.58,95.099998,34411900,92.615105
"15",2016-06-21,97.487,98.935,97.22,95.910004,35546400,93.403946
"16",2016-06-22,98.832,99.49,97.908,95.550003,29219100,93.053352
"17",2016-06-23,98.514,98.873,97.806,96.099998,32240200,93.588974
"18",2016-06-24,95.403,97.2,95.136,93.400002,75311400,90.959526
"19",2016-06-27,95.495,95.547,93.955,92.040001,45489600,89.635063
"20",2016-06-28,95.393,96.173,94.612,93.589996,40444900,91.144562
"21",2016-06-29,96.491,97.087,96.142,94.400002,36531000,91.933395
"22",2016-06-30,96.974,98.34,96.83,95.599998,35836400,93.102036
"23",2016-07-01,98.052,99.058,97.888,95.889999,26026500,93.38446
"24",2016-07-05,97.949,97.96,96.994,94.989998,27705200,92.507965
"25",2016-07-06,97.138,98.227,96.902,95.529999,30949100,93.033875
"26",2016-07-07,98.268,99.089,98.186,95.940002,25139600,93.433159
"27",2016-07-08,99.079,99.49,98.627,96.68,28912100,94.153824
"28",2016-07-11,99.346,100.27,99.325,96.980003,23794900,94.445976
"29",2016-07-12,99.777,100.321,99.726,97.419998,24167500,94.874481
"30",2016-07-13,100.024,100.291,99.438,96.870003,25892200,94.338867
"31",2016-07-14,100.003,101.646,99.931,98.790001,38919000,96.208702
"32",2016-07-15,101.574,101.964,101.143,98.779999,30137000,96.198952
"33",2016-07-18,101.348,102.817,101.245,99.830002,36493900,97.221512
"34",2016-07-19,102.231,102.683,102.005,99.870003,23779900,97.260468
"35",2016-07-20,102.683,103.155,102.416,99.959999,26276000,97.348122
"36",2016-07-21,102.508,103.71,101.79,99.43,32702000,96.83197
"37",2016-07-22,101.923,101.964,100.948,98.660004,28313700,96.082085
"38",2016-07-25,100.886,101.492,99.52,97.339996,40382900,94.79657
"39",2016-07-26,99.418,100.599,99.007,96.669998,56239800,94.144081
"40",2016-07-27,107.068,107.15,105.507,102.949997,92344800,100.259995
"41",2016-07-28,105.589,107.252,105.579,104.339996,39869800,101.613663
"42",2016-07-29,106.985,107.355,106.462,104.209999,27733700,101.487068
