"","date","open","high","low","close","volume","adjusted"
"1",2016-06-01,14.892,15.198,14.739,14.86,62612100,14.569087
"2",2016-06-02,15.249,15.279,15.065,14.94,63437400,14.64752
"3",2016-06-03,14.749,14.79,14.473,14.42,148600900,14.137702
"4",2016-06-06,14.728,14.994,14.657,14.52,80949300,14.235744
"5",2016-06-07,14.83,14.892,14.626,14.35,67447100,14.069073
"6",2016-06-08,14.637,14.749,14.586,14.43,58292900,14.147505
"7",2016-06-09,14.606,14.606,14.361,14.19,74814900,13.912203
"8",2016-06-10,14.259,14.28,14.025,13.83,90725700,13.559252
"9",2016-06-13,13.912,14.188,13.851,13.6,74851700,13.333755
"10",2016-06-14,13.831,14.004,13.433,13.26,85377800,13.000411
"11",2016-06-15,13.647,13.933,13.545,13.34,100659100,13.078845
"12",2016-06-16,13.494,13.596,13.28,13.31,90152000,13.049432
"13",2016-06-17,13.647,13.8,13.545,13.4,89022300,13.137671
"14",2016-06-20,14.014,14.127,13.78,13.54,89874000,13.274928
"15",2016-06-21,13.892,13.923,13.719,13.62,73810800,13.353363
"16",2016-06-22,13.872,14.055,13.861,13.61,77980500,13.343557
"17",2016-06-23,14.116,14.331,14.096,14.04,82494600,13.765141
"18",2016-06-24,13.311,13.708,13.229,13,231499200,12.7455
"19",2016-06-27,13.025,13.025,12.291,12.18,250847700,11.941554
"20",2016-06-28,12.821,12.974,12.597,12.7,150136300,12.451374
"21",2016-06-29,13.331,13.484,13.178,13.19,118484000,12.931781
"22",2016-06-30,13.637,13.647,13.331,13.27,125773900,13.010216
"23",2016-07-01,13.453,13.535,13.28,13.1,88888100,12.843543
"24",2016-07-05,13.188,13.198,12.882,12.74,98246500,12.490589
"25",2016-07-06,12.77,13.178,12.699,12.86,94983300,12.608241
"26",2016-07-07,13.127,13.372,13.096,13.01,100310900,12.755305
"27",2016-07-08,13.545,13.586,13.372,13.17,92698900,12.912173
"28",2016-07-11,13.555,13.668,13.464,13.21,67267300,12.951389
"29",2016-07-12,13.678,13.872,13.668,13.54,89070600,13.274928
"30",2016-07-13,13.77,13.851,13.586,13.44,74595600,13.176886
"31",2016-07-14,14.004,14.055,13.912,13.65,97852100,13.382775
