"","date","open","high","low","close","volume","adjusted"
"1",2016-06-01,99.877,100.135,99.203,96.580002,5137900,93.276253
"2",2016-06-02,99.928,100.218,99.566,96.400002,4985100,93.102409
"3",2016-06-03,99.669,99.949,99.297,96.239998,3868200,92.947876
"4",2016-06-06,99.939,100.125,99.39,96.309998,4308400,93.015472
"5",2016-06-07,100.011,100.974,99.742,96.620003,5434900,93.314888
"6",2016-06-08,100.073,101.896,100.042,98.309998,5693500,94.947067
"7",2016-06-09,101.471,102.165,100.177,96.989998,6108700,93.672226
"8",2016-06-10,99.669,101.15,99.462,96.669998,6877300,93.363159
"9",2016-06-13,99.918,100.156,98.986,95.779999,6098700,92.503609
"10",2016-06-14,99.1,100.135,98.81,96.389999,4556200,93.092743
"11",2016-06-15,99.804,100.518,99.348,96.019997,4722400,92.735397
"12",2016-06-16,98.779,99.193,97.92,95.529999,7285600,92.262169
"13",2016-06-17,99.038,99.069,97.816,94.839996,9142700,91.595772
"14",2016-06-20,98.272,98.468,96.48,93.230003,9126900,90.040848
"15",2016-06-21,96.781,97.278,96.128,93.209999,6653100,90.02153
"16",2016-06-22,96.812,97.381,96.532,93.730003,4545300,90.523743
"17",2016-06-23,97.785,97.837,96.75,94.019997,3862700,90.80381
"18",2016-06-24,95.372,97.868,95,93.540001,8652700,90.340233
"19",2016-06-27,96.563,96.915,95.983,93.239998,6977700,90.050499
"20",2016-06-28,97.505,97.744,96.097,93.699997,4486000,90.494766
"21",2016-06-29,97.619,98.002,97.34,94.410004,4695900,91.180481
"22",2016-06-30,98.158,99.131,97.702,95.739998,4936900,92.464973
"23",2016-07-01,99.276,99.442,98.075,95,3783900,91.750298
"24",2016-07-05,97.837,98.914,97.764,94.980003,4269000,91.73098
"25",2016-07-06,98.209,99.545,98.075,96.059998,5637500,92.774033
"26",2016-07-07,99.7,99.845,98.582,95.5,4189200,92.233192
"27",2016-07-08,99.752,100.249,98.976,96.739998,3722600,93.430779
"28",2016-07-11,100.115,100.653,99.918,96.839996,3567300,93.527359
"29",2016-07-12,100.26,100.436,99.297,96.459999,3974300,93.160355
"30",2016-07-13,100.166,101.15,99.949,97.629997,4276700,94.290329
"31",2016-07-14,101.689,101.72,100.715,97.459999,4816100,94.126144
"32",2016-07-15,101.419,101.419,100.342,97.089996,3346200,93.768806
"33",2016-07-18,100.891,101.15,100.187,96.870003,3571200,93.556328
"34",2016-07-19,99.428,99.913,99.284,96.900002,3101100,93.997704
"35",2016-07-20,100.263,100.376,99.634,97,3486000,94.094704
"36",2016-07-21,99.995,100.119,99.531,96.949997,3023000,94.046204
"37",2016-07-22,100.077,100.139,99.17,96.550003,2955700,93.658188
"38",2016-07-25,98.706,99.191,96.624,94.040001,7405200,91.223373
"39",2016-07-26,97.109,97.366,96.274,93.849998,4901200,91.039055
"40",2016-07-27,96.779,96.902,95.562,92.730003,4623600,89.952599
"41",2016-07-28,95.531,96.614,95.006,93.389999,3857300,90.592834
"42",2016-07-29,96.335,96.438,95.212,92.720001,6120600,89.942902
"43",2016-08-01,95.439,96.954,95.119,93.489998,6605000,90.689835
"44",2016-08-02,98.706,101.706,98.572,98.059998,12545900,95.122963
"45",2016-08-03,100.717,101.016,99.954,97.43,6236900,94.511818
"46",2016-08-04,100.263,100.954,99.242,96.970001,4110000,94.065605
"47",2016-08-05,100.387,100.933,99.913,97.370003,3797700,94.453621
"48",2016-08-08,100.376,100.634,99.84,97.18,3603400,94.269318
"49",2016-08-09,100.469,100.82,99.943,97.449997,2465300,94.531235
"50",2016-08-10,100.521,100.974,99.943,97.110001,3784100,94.201416
"51",2016-08-11,100.387,100.686,99.789,97,3856300,94.094704
"52",2016-08-12,100.325,100.459,99.882,97.43,2362500,94.511818
"53",2016-08-15,100.407,100.686,100.129,97.580002,2397200,94.657333
"54",2016-08-16,100.077,100.871,99.974,97.559998,3328300,94.637932
"55",2016-08-17,100.407,100.737,100.16,97.550003,3107200,94.628227
"56",2016-08-18,100.531,100.655,99.83,97.18,3192000,94.269318
