"","date","open","high","low","close","volume","adjusted"
"1",2016-06-01,748.47,751.37,744.34,748.460022,1039400,748.460022
"2",2016-06-02,746.1,747.3,737,744.27002,1693700,744.27002
"3",2016-06-03,741.49,741.49,733.91,735.859985,1230400,735.859985
"4",2016-06-06,738.5,738.5,728.29,730.059998,1499600,730.059998
"5",2016-06-07,733.27,736.71,730.8,731.090027,1215700,731.090027
"6",2016-06-08,739.5,743.81,735.77,742.929993,1615700,742.929993
"7",2016-06-09,737.07,743.93,736.5,742.52002,959000,742.52002
"8",2016-06-10,735.95,739.64,730.51,733.190002,1452500,733.190002
"9",2016-06-13,729.82,739,729.82,731.880005,1167700,731.880005
"10",2016-06-14,729.31,736,726.5,733.25,1329200,733.25
"11",2016-06-15,734.92,737.15,731.31,732.190002,1161700,732.190002
"12",2016-06-16,727.96,730.39,715.54,724.25,2250100,724.25
"13",2016-06-17,721.39,721.39,701.12,704.25,4113100,704.25
"14",2016-06-20,710.31,715.87,705.41,706.130005,2282700,706.130005
"15",2016-06-21,710.05,715.38,704.66,708.880005,1515900,708.880005
"16",2016-06-22,714.05,714.21,705.88,710.469971,1452900,710.469971
"17",2016-06-23,710.55,714.88,700.25,714.869995,2125000,714.869995
"18",2016-06-24,690.17,705,684.91,685.200012,4771800,685.200012
"19",2016-06-27,682.49,683.33,672.66,681.140015,2907300,681.140015
"20",2016-06-28,691.37,692.74,684.85,691.26001,1912300,691.26001
"21",2016-06-29,694.26,699.5,692.68,695.190002,2156200,695.190002
"22",2016-06-30,697.65,703.77,694.9,703.530029,2112500,703.530029
"23",2016-07-01,705.1,712.53,703.73,710.25,1549200,710.25
"24",2016-07-05,705.01,708.12,699.13,704.890015,1422000,704.890015
"25",2016-07-06,699.84,713,699,708.969971,1445100,708.969971
"26",2016-07-07,710.11,710.17,700.67,707.26001,1057600,707.26001
"27",2016-07-08,710.56,717.9,708.11,717.780029,1497300,717.780029
"28",2016-07-11,719.42,728.93,718.87,727.200012,1441100,727.200012
"29",2016-07-12,731.92,735.6,727.5,732.51001,1323400,732.51001
"30",2016-07-13,735.52,735.52,729.02,729.47998,1021800,729.47998
"31",2016-07-14,733.94,736.14,730.59,735.799988,1070400,735.799988
"32",2016-07-15,741,741,734.64,735.630005,1617100,735.630005
"33",2016-07-18,737.91,755.14,736.51,753.200012,1934900,753.200012
"34",2016-07-19,749.87,756.59,748.49,753.409973,1521800,753.409973
"35",2016-07-20,754.05,760.64,754.05,757.080017,1125100,757.080017
"36",2016-07-21,757,758.15,751.52,754.409973,953100,754.409973
"37",2016-07-22,757.32,759.45,752.66,759.280029,1046000,759.280029
"38",2016-07-25,757.68,759.82,754.07,757.52002,1073300,757.52002
"39",2016-07-26,757.52,759.26,752.75,757.650024,1189600,757.650024
"40",2016-07-27,758.97,764.45,755.93,761.969971,1576200,761.969971
"41",2016-07-28,768.84,768.97,759.09,765.840027,3673200,765.840027
"42",2016-07-29,797.71,803.94,790,791.340027,5090500,791.340027
"43",2016-08-01,786.67,807.49,785.04,800.940002,3029700,800.940002
"44",2016-08-02,797.33,802.32,794.53,800.119995,1996400,800.119995
"45",2016-08-03,796.47,799.54,793.02,798.919983,1460300,798.919983
"46",2016-08-04,798.24,800.2,793.92,797.25,1074900,797.25
"47",2016-08-05,800.11,807.22,797.81,806.929993,1807300,806.929993
"48",2016-08-08,806,807.6,801.69,805.22998,1221300,805.22998
"49",2016-08-09,804.49,813.33,804.06,807.47998,1607700,807.47998
