"","date","open","high","low","close","volume","adjusted"
"1",2016-06-01,9.22,9.68,9.17,9.66,27100,9.66
"2",2016-06-02,9.59,9.7,9.41,9.58,19200,9.58
"3",2016-06-03,9.57,9.64,9.42,9.58,33600,9.58
"4",2016-06-06,9.57,10,9.57,9.9,50200,9.9
"5",2016-06-07,9.87,10.24,9.87,10.14,46100,10.14
"6",2016-06-08,10.19,10.64,9.89,10.42,68600,10.42
"7",2016-06-09,10.37,10.4,9.81,9.85,41900,9.85
"8",2016-06-10,9.73,9.73,9.39,9.44,74900,9.44
"9",2016-06-13,9.3,9.38,9.01,9.33,103200,9.33
"10",2016-06-14,9.2,9.29,9.01,9.14,278600,9.14
"11",2016-06-15,9.18,9.66,9.09,9.52,85200,9.52
"12",2016-06-16,9.45,9.65,9.3,9.44,83000,9.44
"13",2016-06-17,9.41,9.91,9.35,9.85,406000,9.85
"14",2016-06-20,9.94,10.49,9.85,10.05,118700,10.05
"15",2016-06-21,10.05,10.1,9.8,10,73900,10
"16",2016-06-22,10.02,10.02,9.42,9.88,76400,9.88
"17",2016-06-23,10.07,10.29,9.85,10.27,82100,10.27
"18",2016-06-24,9.7,10.59,9.65,10.52,1130000,10.52
"19",2016-06-27,10.32,10.88,10.25,10.48,142200,10.48
"20",2016-06-28,10.73,10.94,10.57,10.64,78500,10.64
"21",2016-06-29,10.73,10.97,10.33,10.47,69500,10.47
"22",2016-06-30,10.5,10.79,10.2,10.78,54800,10.78
"23",2016-07-01,10.85,11.2,10.81,10.99,46600,10.99
"24",2016-07-05,10.98,10.98,10.48,10.84,36500,10.84
"25",2016-07-06,10.84,10.86,10.55,10.62,46700,10.62
"26",2016-07-07,10.56,10.81,10.4,10.59,48800,10.59
"27",2016-07-08,10.63,11.03,10.56,10.87,52000,10.87
"28",2016-07-11,10.9,11.07,10.89,10.94,39500,10.94
"29",2016-07-12,11.01,11.35,10.99,11.02,122800,11.02
"30",2016-07-13,10.99,11.4,10.99,11.21,67200,11.21
"31",2016-07-14,11.3,11.36,11.19,11.25,39700,11.25
"32",2016-07-15,11.23,11.35,10.94,11.16,15700,11.16
"33",2016-07-18,11.18,11.44,10.95,11.4,29500,11.4
"34",2016-07-19,11.33,11.43,11.06,11.1,29800,11.1
"35",2016-07-20,11.08,11.43,10.88,11.13,55500,11.13
"36",2016-07-21,11.13,11.27,10.96,11.03,32800,11.03
"37",2016-07-22,10.97,11.11,10.94,11.03,36200,11.03
"38",2016-07-25,11,11.21,10.77,11.17,24300,11.17
"39",2016-07-26,11.16,11.66,11.16,11.58,59500,11.58
"40",2016-07-27,11.67,11.7,11.26,11.33,37900,11.33
"41",2016-07-28,11.36,11.49,11.06,11.4,31700,11.4
